vehicle_model,battery_capacity_kwh,charging_station_id,charging_station_location,energy_consumed_kwh,charging_duration_hours,charging_rate_kw,time_of_day,day_of_week,state_of_charge_start_,state_of_charge_end_,distance_driven_since_last_charge_km,temperature_c,charger_type,user_type,station_name,operator,station_key,station_name_loc,address,operator_loc,charging_types,payment_options,amenities,latitude,longitude,city,state
TATA Tiago,108.4630074,Station_391,"Mulund West, Mumbai",60.71234573,1.67,36.38918057,Evening,Tuesday,29.37157598,86.11996244,293.6021106,27.94795306,DC Fast Charger,Commuter,ATUM Charge - Mulund,ATUM,atum charge mulund,ATUM Charge - Mulund,"Mulund West, Mumbai",ATUM,"AC 7.4kW, DC 25kW","App, Card",Parking,19.1721,72.9568,Mumbai,Maharashtra
Hyundai Kona,50.0,Station_327,"Juhu Tara Rd, Near Juhu Beach, Mumbai, Maharashtra",79.45782399,2.42,32.88286976,Evening,Saturday,83.12000296,99.62432763,199.5777845,38.31631316,Level 1,Long-Distance Traveler,EV Point - Juhu,EV Point,point juhu,EV Point - Juhu,"Juhu Tara Rd, Near Juhu Beach, Mumbai, Maharashtra",EV Point,"AC 11kW, DC 22kW","App, Card",Parking,19.0994,72.8269,Mumbai,Maharashtra
MG Comet,85.0,Station_162,"Ambernath Station, Thane",36.86213999,1.41,26.18518786,Evening,Friday,60.75178076,70.7960969,81.33800891,27.55133468,Level 2,Commuter,ChargeZone - Ambernath,ChargeZone,chargezone ambernath,ChargeZone - Ambernath,"Ambernath Station, Thane",ChargeZone,"AC 22kW, DC 50kW","App, Card","Parking, UPI",19.186,73.1891,Mumbai,Maharashtra
TATA Curvv,75.0,Station_327,"IOCL Sahara Hospitality, Vile Parle, opp. Domestic Airport, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",16.56106433,0.84,19.76909872,Morning,Friday,25.77541539,69.2012291,159.2316102,34.11034864,Level 2,Commuter,Tata Power,,tata power,Tata Power Charging Station,"Anik Depot, Municipal Kamgar Vasahat, Trombay Industrial Area, Chembur, Mumbai",Tata Power,DC 25kW,"App, UPI","Parking, App Connect",19.0302,72.8927,Mumbai,Maharashtra
TATA Tiago,85.0,Station_96,"Plot No, P. N. 1207, CADELL RD. MUMBAI, PRABHADEVI CADEL RD., MUMBAI - 400022",12.92754529,0.53,24.21115012,Afternoon,Monday,71.68354384,63.70663794,155.3606054,39.50544569,Level 1,Casual Driver,"IOCL - COCO, Prabhadevi",,iocl coco prabhadevi,"IOCL - COCO, Prabhadevi","Plot No, P. N. 1207, CADELL RD. MUMBAI, PRABHADEVI CADEL RD., MUMBAI - 400022",,,,,19.018857,72.831076,Mumbai,Maharashtra
TATA Nexon,100.0,Station_150,"Borivali East, Mumbai",27.60438468,2.46,11.23853863,Morning,Wednesday,65.48688658,65.35209627,173.4715265,35.97782192,Level 1,Long-Distance Traveler,EVteQ - Borivali,EVteQ,evteq borivali,EVteQ - Borivali,"Borivali East, Mumbai",EVteQ,"AC 7.4kW, DC 15kW","App, Card, UPI",Parking,19.2365,72.8552,Mumbai,Maharashtra
MG Comet,75.0,Station_361,"Atria Mall, Dr Annie Besant Rd, Worli, Mumbai",43.48775122,1.2,36.18237188,Afternoon,Thursday,88.74847907,87.824029,80.91266512,29.87220987,Level 1,Commuter,Magenta ChargeGrid - Worli,Magenta,magenta chargegrid worli,Magenta ChargeGrid - Worli,"Atria Mall, Dr Annie Besant Rd, Worli, Mumbai",Magenta,"AC 7.4kW, DC 15kW","App, Card",Mall Parking,19.0085,72.8153,Mumbai,Maharashtra
TATA Nexon,62.0,Station_211,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",60.06708509,7.85,7.651570047,Afternoon,Monday,22.88146663,51.43427868,46.35755886,13.99159748,Level 2,Casual Driver,HP Super Service DC Charging Station,,hp super service,HP Super Service DC Charging Station,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",,,,,18.9285,72.8255,Mumbai,Maharashtra
MG Comet,75.0,Station_402,"Dr Ambedkar Rd, Parel, Mumbai",57.72437946,12.87,4.485647105,Afternoon,Friday,41.87247964,79.64797277,157.614654,28.42980738,DC Fast Charger,Long-Distance Traveler,VoltaPoint - Parel,VoltaPoint,voltapoint parel,VoltaPoint - Parel,"Dr Ambedkar Rd, Parel, Mumbai",VoltaPoint,"AC 11kW, DC 30kW",App,Parking,19.0094,72.8394,Mumbai,Maharashtra
TATA Curvv,100.0,Station_23,"Sakinaka Junction, Andheri East, Mumbai",68.17785004,2.92,23.31161908,Morning,Thursday,17.04042002,56.07865101,130.3760138,-3.191455366,Level 2,Long-Distance Traveler,EVteQ - Sakinaka,EVteQ,evteq sakinaka,EVteQ - Sakinaka,"Sakinaka Junction, Andheri East, Mumbai",EVteQ,"AC 7.4kW, DC 15kW","App, Card, UPI",Parking,19.102,72.8872,Mumbai,Maharashtra
TATA Nexon,100.0,Station_461,"527, Building No-2, SRA Cooperative Society, Prabhadevi, near Ahuja Towers, Mumbai",39.39874236,1.93,20.46036487,Morning,Saturday,28.25229826,96.28709224,111.0165395,19.78108389,Level 2,Commuter,VoltaPoint Charging Station,VoltaPoint,voltapoint,VoltaPoint Charging Station,"527, Building No-2, SRA Cooperative Society, Prabhadevi, near Ahuja Towers, Mumbai",VoltaPoint,"AC 11kW, DC 30kW",App,Parking,19.0161,72.828,Mumbai,Maharashtra
TATA Tiago,85.0,Station_391,"Oshiwara Police Station Lane, Andheri West, Mumbai",12.04931971,0.41,29.46894436,Night,Saturday,36.63685216,66.97610432,83.24522143,39.41613092,Level 1,Commuter,Magenta ChargeGrid - Oshiwara,Magenta,magenta chargegrid oshiwara,Magenta ChargeGrid - Oshiwara,"Oshiwara Police Station Lane, Andheri West, Mumbai",Magenta,"AC 7.4kW, DC 15kW","App, Card",Public Parking,19.1441,72.8366,Mumbai,Maharashtra
MG Comet,100.0,Station_185,"Juhu Tara Rd, Near Juhu Beach, Mumbai",17.76943641,0.52,34.45824194,Evening,Thursday,27.69749249,70.51026725,166.311463,19.70335918,DC Fast Charger,Casual Driver,ChargeAndDrive - Juhu,Fortum,chargeanddrive juhu,ChargeAndDrive - Juhu,"Juhu Tara Rd, Near Juhu Beach, Mumbai",Fortum,"AC 22kW, DC 60kW","App, Card, RFID","Parking, RFID",19.0977,72.8271,Mumbai,Maharashtra
TATA Curvv,62.0,Station_130,"Juhu Tara Rd, Near Juhu Beach, Mumbai",77.86372676,1.65,47.1540098,Afternoon,Saturday,56.91742176,57.46568225,129.3894111,38.46677945,DC Fast Charger,Casual Driver,ChargeAndDrive - Juhu,Fortum,chargeanddrive juhu,ChargeAndDrive - Juhu,"Juhu Tara Rd, Near Juhu Beach, Mumbai",Fortum,"AC 22kW, DC 60kW","App, Card, RFID","Parking, RFID",19.0977,72.8271,Mumbai,Maharashtra
TATA Curvv,100.0,Station_378,"CR - Lokmanya Tilak Station, Kurla, Outside Platform 1, Beside LTT Pay and Park, LTT Station, Pipeline Rd, Tilak Nagar, Kurla, Mumbai, Maharashtra 400089",71.28000416,1.75,40.61639923,Evening,Wednesday,26.15659795,89.92458853,140.4652132,33.05773081,Level 2,Casual Driver,Tata Power,,tata power,Tata Power Charging Station,"Anik Depot, Municipal Kamgar Vasahat, Trombay Industrial Area, Chembur, Mumbai",Tata Power,DC 25kW,"App, UPI","Parking, App Connect",19.0302,72.8927,Mumbai,Maharashtra
TATA Curvv,62.0,Station_97,"Near Infiniti Mall, Andheri West, Mumbai",21.82768818,0.82,26.50712322,Evening,Tuesday,33.25598509,51.50113227,48.04438716,38.65644396,Level 1,Casual Driver,Kazam - Andheri West,Kazam,kazam andheri west,Kazam - Andheri West,"Near Infiniti Mall, Andheri West, Mumbai",Kazam,"AC 7.4kW, DC 15kW",App,Parking,19.1372,72.8276,Mumbai,Maharashtra
Hyundai Kona,40.2,Station_87,"Sion East, Near Sion Hospital, Mumbai",46.195137,0.96,47.87752356,Afternoon,Sunday,53.00518533,59.90164627,25.02725726,6.171256709,Level 2,Commuter,Volttic - Sion,Volttic,volttic sion,Volttic - Sion,"Sion East, Near Sion Hospital, Mumbai",Volttic,DC Fast 25kW,"App, Card",Parking,19.032,72.8597,Mumbai,Maharashtra
TATA Tiago,62.0,Station_208,"Western Express Hwy, Yashodham, Goregaon, Mumbai, Maharashtra 400063",59.25460166,,26.50712322,Night,Thursday,77.03697399,91.82927487,167.2975728,35.27145069,Level 2,Long-Distance Traveler,"Oberoi Mall, Goregaon",,oberoi mall goregaon,"Oberoi Mall, Goregaon","Western Express Hwy, Yashodham, Goregaon, Mumbai, Maharashtra 400063",,,,,19.1737611,72.8600172,Mumbai,Maharashtra
TATA Tiago,50.0,Station_35,"Marol Naka Metro Station, Mumbai",67.00568214,16.37,4.092360865,Night,Monday,57.67766075,57.11286225,276.3684303,-2.724902766,Level 1,Long-Distance Traveler,Statiq - Marol Naka,Statiq,statiq marol naka,Statiq - Marol Naka,"Marol Naka Metro Station, Mumbai",Statiq,"AC 22kW, DC 60kW","App, Card, UPI",Metro Parking,19.109,72.8771,Mumbai,Maharashtra
Hyundai Kona,75.0,Station_67,"Phoenix Mills Compound, Lower Parel, Mumbai",61.13047583,2.63,23.28180496,Evening,Saturday,34.89904375,92.35566117,58.85531552,7.662649709,DC Fast Charger,Long-Distance Traveler,Statiq - Parel,Statiq,statiq parel,Statiq - Parel,"Phoenix Mills Compound, Lower Parel, Mumbai",Statiq,"AC 11kW, DC 60kW","App, Card, UPI",Mall Parking,19.0029,72.824,Mumbai,Maharashtra
Hyundai Kona,85.0,Station_34,"TTC Industrial Area, MIDC Industrial Area, Sanpada, Navi Mumbai",69.16916706,12.45,5.557358509,Afternoon,Wednesday,41.08904487,74.39951853,276.5748192,20.01432447,Level 1,Casual Driver,Magenta House - Mumbai,,magenta house mumbai,Magenta House - Mumbai,"TTC Industrial Area, MIDC Industrial Area, Sanpada, Navi Mumbai",,,,,19.06870454,73.02298692,Mumbai,Maharashtra
TATA Tiago,100.0,Station_151,"Kohinoor Square, Kasaravadi, Dadar, Mumbai, Maharashtra",30.65169982,1.07,28.52235334,Evening,Friday,38.12132999,81.19721084,12.14951668,-4.932743443,DC Fast Charger,Casual Driver,Kohinoor MCGM parking,,kohinoor mcgm parking,Kohinoor MCGM parking,"Kohinoor Square, Kasaravadi, Dadar, Mumbai, Maharashtra",,,,,19.02460889,72.84282021,Mumbai,Maharashtra
TATA Tiago,75.0,Station_71,"VN Purav Marg Diamond Garden, Basant Garden, Chembur Mumbai, Maharashtra,Chembur",59.98647673,2.56,23.41792115,Afternoon,Wednesday,88.09676846,96.13056859,281.7637403,15.06062245,Level 1,Commuter,K Star Chembur,,k star chembur,K Star Chembur,"VN Purav Marg Diamond Garden, Basant Garden, Chembur Mumbai, Maharashtra,Chembur",,,,,19.05231631,72.90163581,Mumbai,Maharashtra
TATA Nexon,50.0,Station_82,"Building, Plot 1, Udyog Kshtra, Mulund Goregaon Link Rd, near D Mart Mulund, Salpa Devi Pada, Mulund West, Mumbai, Maharashtra 400080",57.92445004,4.62,12.53816191,Morning,Friday,49.87203405,54.26143302,64.13545484,1.825449687,Level 1,Casual Driver,"Hare Krishna Mahindra, Mulund West",,hare krishna mahindra mulund west,"Hare Krishna Mahindra, Mulund West","Building, Plot 1, Udyog Kshtra, Mulund Goregaon Link Rd, near D Mart Mulund, Salpa Devi Pada, Mulund West, Mumbai, Maharashtra 400080",,,,,19.163979,72.938751,Mumbai,Maharashtra
MG Comet,85.0,Station_224,"Near Palava City, Dombivli East",65.43101691,3.23,20.27269894,Night,Sunday,76.46681164,75.84995703,71.43600424,30.19970956,DC Fast Charger,Long-Distance Traveler,Tata Power - Palava,Tata Power,tata power palava,Tata Power - Palava,"Near Palava City, Dombivli East",Tata Power,"AC 11kW, DC 25kW","App, UPI",Parking,19.2081,73.1041,Mumbai,Maharashtra
Hyundai Kona,100.0,Station_448,"Chakala Metro Station, Mumbai",36.137269,0.99,36.37707579,Night,Sunday,48.61219347,95.83119936,48.11698069,32.30733829,DC Fast Charger,Casual Driver,Tata Power - Chakala,Tata Power,tata power chakala,Tata Power - Chakala,"Chakala Metro Station, Mumbai",Tata Power,AC 11kW,App,Metro Parking,19.1088,72.8535,Mumbai,Maharashtra
